起诉, -4.027765
罪嫌, -3.951779
讯, -3.810701
撞, -3.610030
检方, -3.610030
查获, -3.533069
声请, -3.533069
到案, -3.309925
辩称, -3.309925
暴跌, -3.309925
涉嫌, -3.276024
查出, -3.258632
恐怖, -3.258632
处分, -3.204565
罪, -3.204565
地院, -3.204565
安非他命, -3.204565
徒刑, -3.147407
份子, -3.147407
指称, -3.147407
交保, -3.147407
犯案, -3.147407
侦讯, -3.117554
毒品, -3.117554
不料, -3.086782
起火, -3.086782
传唤, -3.086782
犯行, -3.086782
移送, -3.065729
切割, -3.022243
救治, -3.022243
重挫, -3.022243
窃盗, -3.022243
代价, -3.022243
判处, -3.022243
被害人, -2.988342
侦办, -2.988342
买票, -2.953251
陈姓, -2.953251
首个, -2.953251
查, -2.953251
恐吓, -2.953251
疑, -2.953251
遭到, -2.929153
上诉, -2.916883
路旁, -2.879143
伪造文书, -2.879143
送往, -2.879143
串证, -2.879143
巴基斯坦, -2.879143
躲, -2.879143
可疑, -2.879143
羁押, -2.879143
公克, -2.879143
送办, -2.879143
法院, -2.879143
审理, -2.839922
送医, -2.826499
裁定, -2.799100
嫌犯, -2.799100
盘查, -2.799100
沙乌地阿, -2.799100
无关, -2.799100
事发, -2.799100
头部, -2.799100
沙国, -2.799100
拉伯, -2.799100
空军基地, -2.799100
死者, -2.799100
火警, -2.799100
高等法院, -2.799100
两案, -2.799100
住处, -2.799100
村长, -2.799100
男子, -2.778046
带回, -2.770929
尼姆, -2.756540
不满, -2.747807
否认, -2.734561
每票, -2.712088
王姓, -2.712088
矿业, -2.712088
侦查, -2.712088
刑警大队, -2.712088
出游, -2.712088
地方法院, -2.712088
禁见, -2.712088
犯, -2.712088
台中地, -2.712088
旁遮普省, -2.712088
一栋, -2.712088
袭击, -2.712088
游玩, -2.712088
口角, -2.712088
巴坦, -2.712088
获报, -2.681317
查扣, -2.681317
妨害, -2.665568
声称, -2.665568
法办, -2.649568
监视器, -2.649568
报案, -2.636581
判刑, -2.616778
罪证, -2.616778
台湾独立, -2.616778
被告, -2.616778
刘姓, -2.616778
嫌疑, -2.616778
车内, -2.616778
讯问, -2.616778
二审, -2.616778
追撞, -2.616778
之死, -2.616778
逃逸, -2.616778
桩脚, -2.616778
李姓, -2.616778
